目标机名,用户名,是否双屏,是否4k,资源名,角色
B011831,011831,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B011835,011835,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B011838,011838,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B011839,011839,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B011841,011841,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B011842,011842,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B011843,011843,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B011845,011845,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B011846,011846,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B011848,011848,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B011850,011850,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B011986,011986,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B011987,011987,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B012293,012293,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B012415,012415,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B012464,012464,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B012465,012465,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B012553,012553,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B012558,012558,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B012560,012560,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B012561,012561,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B012562,012562,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B012565,012565,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B012761,012761,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B012857,012857,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B012946,012946,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B013110,013110,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B013112,013112,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B013114,013114,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B013436,013436,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B013444,013444,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B013627,013627,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B013628,013628,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B021292,021292,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B022521,022521,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
BZYVDDT01-903Q,zyvdidt01,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
BZYVDDT02-903Q,zyvdidt02,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
BZYVDDT03-903Q,zyvdidt03,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
